season,week,game_id,posteam,defteam,play_type,down,ydstogo,yardline_100,yards_gained,touchdown,pass_attempt,rush_attempt,epa,success,passer_player_name,rusher_player_name,receiver_player_name
2024,1,2024_01_GB_PHI,PHI,GB,pass,3.0,13.0,14.0,0.0,0.0,1.0,0.0,-3.3511245775735006,0.0,J.Hurts,,A.Brown
2024,1,2024_01_GB_PHI,PHI,GB,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.2624214431270957,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,70.0,-2.0,0.0,0.0,1.0,-1.0177712962031364,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,no_play,2.0,12.0,72.0,0.0,0.0,0.0,0.0,1.1880168048664927,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,67.0,9.0,0.0,0.0,1.0,0.756854300852865,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,1.0,58.0,2.0,0.0,0.0,1.0,-0.42121487809345126,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,56.0,8.0,0.0,0.0,1.0,0.5025683796266094,1.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,no_play,2.0,2.0,48.0,0.0,0.0,0.0,0.0,-0.848537384881638,0.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,7.0,53.0,0.0,0.0,1.0,0.0,-0.6658649416640401,0.0,J.Hurts,,A.Brown
2024,1,2024_01_GB_PHI,PHI,GB,run,3.0,7.0,53.0,6.0,0.0,0.0,1.0,1.9201446328661405,1.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,42.0,2.0,0.0,0.0,1.0,-0.5268192465882748,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,8.0,40.0,8.0,0.0,0.0,1.0,1.0251492603565566,1.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,32.0,-3.0,0.0,0.0,1.0,-0.9793514522025362,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,13.0,35.0,16.0,0.0,1.0,0.0,1.9705862416303717,1.0,J.Hurts,,D.Smith
